"","SITE_ID","BIO","X_COORD","Y_COORD","DWELL","TREE","myotis","mormo"
"1",1,"Coast",329214,5818849.186,9.324,30.6,0,0
"2",2,"Coast",328414,5820083.752,10.377,8.7,0,0
"3",3,"Coast",330602,5817965.652,0.979,36.8,0,1
"4",4,"Coast",330703,5818777.413,0.299,34.3,1,0
"5",5,"High",338955,5819633.675,7.285,9.7,1,0
"6",6,"High",339345,5818972.731,7.058,6.4,1,0
"7",7,"High",340112,5819117.653,1.303,60.1,1,0
"8",8,"High",339726,5818212.876,7.189,7.1,0,0
"9",9,"Coast",348800,5819956.592,0.465,74.6,1,1
"10",10,"Coast",350138,5818563.163,2.664,7.4,0,0
"11",11,"Coast",350980,5818189.561,6.384,7.3,0,1
"12",12,"Coast",349040,5817401.84,6.6,24.7,1,0
"13",13,"Coast",343937,5808059.401,9.169,11.3,0,0
"14",14,"Coast",344479,5808523.677,9.433,10.2,0,0
"15",15,"Coast",343706,5808668.305,9.541,7.9,0,0
"16",16,"Coast",343640,5810016.022,5.145,30.2,1,0
"17",17,"Coast",333641,5804936.496,8.997,8.7,0,0
"18",18,"Coast",334418,5804505.529,7.909,15.1,1,0
"19",19,"Coast",334690,5805393.99,9.842,18,0,0
"20",20,"Coast",335886,5805925.712,7.137,36,0,0
"21",21,"High",333107,5829161.153,0.418,24.5,0,0
"22",22,"High",334592,5828941.83,1.285,17.3,1,0
"23",23,"High",333575,5828075.448,1.796,24.6,1,1
"24",24,"High",334971,5827615.132,5.995,10.6,0,0
"25",25,"High",344027,5829095.131,0.108,41,1,0
"26",26,"High",346182,5829593.319,0.055,57.9,1,1
"27",27,"High",346424,5829519.911,0.051,55.4,1,1
"28",28,"High",344334,5827255.827,0.072,6.4,1,0
"29",29,"High",357534,5830582.404,0.035,6,1,0
"30",30,"High",353768,5831621.069,0.058,84.5,1,0
"31",31,"High",355023,5832174.059,0.181,58.1,1,0
"32",32,"High",356524,5831209.719,4.539,2.5,0,0
"33",33,"High",368908,5829820.155,1.526,18.4,1,0
"34",34,"High",370952,5828416.807,2.842,45.5,1,1
"35",35,"High",370031,5827976.574,0.001,87.7,1,1
"36",36,"High",369742,5828237.305,0.045,94.3,1,1
"37",37,"High",359814,5818806.683,0.244,38.7,1,0
"38",38,"High",359949,5818224.937,0.611,38.2,1,0
"39",39,"High",360929,5817717.446,2.222,18.1,1,0
"40",40,"High",359952,5817214.4,0.336,50.3,1,0
"41",42,"Vicvol",315066,5808279.66,13.629,3.5,0,0
"42",43,"Vicvol",314195,5809022.619,13.954,3.7,0,0
"43",44,"Vicvol",312894,5808939.5,9.981,2.1,0,0
"44",45,"Vicvol",304251,5808781.449,4.892,0.7,0,0
"45",46,"Vicvol",304107,5808320.529,8.529,1.1,0,0
"46",47,"Vicvol",304203,5807673.366,6.37,1.5,1,0
"47",48,"Vicvol",302653,5807947.94,0.033,1.7,1,0
"48",49,"Vicvol",293601,5801748.102,4.552,14,1,0
"49",50,"Vicvol",295138,5801384.198,7.075,4.9,0,0
"50",51,"Vicvol",295464,5798844.098,0.04,7.7,1,1
"51",52,"Vicvol",294880,5799159.087,0,17.6,1,1
"52",53,"Vicvol",273174,5797709.049,0.001,68.8,1,0
"53",54,"Vicvol",275101,5798015.435,0,86.6,1,0
"54",55,"Vicvol",275590,5796893.078,0.001,42.3,1,0
"55",56,"Vicvol",275493,5796102.807,0.001,37.9,1,0
"56",57,"Vicvol",285493,5816001.291,0.008,54.6,1,1
"57",58,"Vicvol",285268,5814144.475,0.008,8.6,1,0
"58",59,"Vicvol",285602,5815487.293,0.008,59,1,1
"59",60,"Vicvol",285345,5816431.764,0.008,16.6,1,0
"60",61,"Vicvol",313872,5830005.479,2.026,1.8,0,1
"61",62,"Vicvol",314534,5828671.021,6.838,2.7,0,0
"62",63,"Vicvol",315265,5828254.985,5.879,2.1,0,0
"63",64,"Vicvol",313534,5828211.053,6.131,5.3,1,0
"64",65,"Vicvol",318063,5839746.796,1.379,0.6,0,0
"65",66,"Vicvol",316554,5838125.003,4.842,1.7,0,0
"66",67,"Vicvol",317511,5837226.964,9.952,0.6,0,0
"67",68,"Vicvol",317572,5837751.54,9.393,0.4,0,0
"68",69,"Vicvol",334225,5840170.843,0.182,13,1,1
"69",70,"Vicvol",335535,5838955.565,3.334,3,1,0
"70",71,"Vicvol",335765,5837641.075,1.257,4.2,1,1
"71",72,"Vicvol",334138,5837760.508,0.101,2.8,1,1
"72",73,"Vicvol",325044,5829905.579,7.578,1.7,0,0
"73",74,"Vicvol",325480,5828936.028,10.524,4.2,0,0
